model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Train/loss,5.033315181732178
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Train/loss,5.01963472366333
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/precision@1,0.2472975105047226
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/precision@1,0.24816612899303436
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/precision@1,0.24800437688827515
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/precision@5,0.08002913743257523
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/precision@5,0.08031096309423447
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/precision@5,0.08030188828706741
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/precision@10,0.048264384269714355
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/precision@10,0.04840245842933655
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/precision@10,0.04843530058860779
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/precision@20,0.02845664508640766
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/precision@20,0.028511853888630867
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/precision@20,0.028517363592982292
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/recall@1,0.2472975105047226
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/recall@1,0.24816612899303436
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/recall@1,0.24800437688827515
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/recall@5,0.4001457095146179
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/recall@5,0.40155482292175293
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/recall@5,0.40150943398475647
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/recall@10,0.48264384269714355
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/recall@10,0.4840245842933655
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/recall@10,0.4843530058860779
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/recall@20,0.569132924079895
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/recall@20,0.5702370405197144
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/recall@20,0.570347249507904
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/mrr@1,0.2472975105047226
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Validation/mrr@1,0.24816612899303436
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Validation/mrr@1,0.24800437688827515
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Validation/mrr@5,0.3019472658634186
