model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/recall@20,0.3137950003147125
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/recall@20,0.4133625030517578
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/recall@20,0.4417575001716614
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/recall@20,0.4561924934387207
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/recall@20,0.4652475118637085
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/mrr@1,0.04484250023961067
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/mrr@1,0.06896749883890152
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/mrr@1,0.07958749681711197
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/mrr@1,0.08537749946117401
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/mrr@1,0.08896999806165695
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/mrr@5,0.08054554462432861
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/mrr@5,0.11922778934240341
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/mrr@5,0.1343652456998825
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/mrr@5,0.14262549579143524
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/mrr@5,0.1475720852613449
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/mrr@10,0.09037511050701141
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/mrr@10,0.13165481388568878
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/mrr@10,0.14730815589427948
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/mrr@10,0.15579760074615479
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/mrr@10,0.1609075516462326
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/mrr@20,0.09660889208316803
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/mrr@20,0.13896861672401428
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/mrr@20,0.15476317703723907
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/mrr@20,0.16329118609428406
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/mrr@20,0.16844792664051056
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/loss,6.972598075866699
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/loss,6.098343372344971
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/loss,5.901124954223633
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/loss,5.806820869445801
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/loss,5.74694299697876
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/precision@1,0.0746999979019165
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/precision@1,0.09003999829292297
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/precision@1,0.09601999819278717
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/precision@1,0.10068000108003616
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/precision@1,0.10434000194072723
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/precision@5,0.04505600035190582
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/precision@5,0.051607999950647354
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/precision@5,0.054152000695466995
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/precision@5,0.05620000138878822
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/precision@5,0.0567919984459877
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/precision@10,0.03233399987220764
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/precision@10,0.03584599867463112
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/precision@10,0.03726999834179878
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/precision@10,0.0383559986948967
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/precision@10,0.03897999972105026
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/precision@20,0.02152399905025959
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/precision@20,0.02346700057387352
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/precision@20,0.024156000465154648
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/precision@20,0.024658000096678734
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/precision@20,0.024953000247478485
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/recall@1,0.0746999979019165
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/recall@1,0.09003999829292297
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/recall@1,0.09601999819278717
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/recall@1,0.10068000108003616
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/recall@1,0.10434000194072723
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/recall@5,0.2252800017595291
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/recall@5,0.25804001092910767
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/recall@5,0.2707599997520447
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/recall@5,0.2809999883174896
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/recall@5,0.2839600145816803
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/recall@10,0.3233399987220764
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/recall@10,0.358460009098053
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/recall@10,0.3727000057697296
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/recall@10,0.3835600018501282
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/recall@10,0.3898000121116638
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/recall@20,0.4304800033569336
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/recall@20,0.4693399965763092
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/recall@20,0.48311999440193176
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/recall@20,0.4931600093841553
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/recall@20,0.4990600049495697
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/mrr@1,0.0746999979019165
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/mrr@1,0.09003999829292297
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/mrr@1,0.09601999819278717
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/mrr@1,0.10068000108003616
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/mrr@1,0.10434000194072723
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/mrr@5,0.127143993973732
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/mrr@5,0.14894933998584747
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/mrr@5,0.1575150042772293
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/mrr@5,0.16453632712364197
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/mrr@5,0.16769999265670776
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/mrr@10,0.14014211297035217
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/mrr@10,0.16228310763835907
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/mrr@10,0.1711244434118271
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/mrr@10,0.17818860709667206
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/mrr@10,0.18177661299705505
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/mrr@20,0.14757448434829712
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/mrr@20,0.16998112201690674
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/mrr@20,0.1787915676832199
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/mrr@20,0.18576514720916748
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/mrr@20,0.18935446441173553
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Validation/loss,6.002549648284912
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Validation/loss,5.747023582458496
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Validation/loss,5.655862331390381
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Validation/loss,5.606780529022217
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Validation/loss,5.580509662628174
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Loss/Train,7.262528419494629
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Loss/Train,6.1562933921813965
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Loss/Train,5.799540996551514
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Loss/Train,5.592865943908691
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Loss/Train,5.453470706939697
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Loss/Validation,6.513822555541992
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Loss/Validation,6.096430778503418
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Loss/Validation,5.893440246582031
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Loss/Validation,5.775738716125488
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Loss/Validation,5.699609756469727
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/precision@1,0.03446250036358833
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/precision@1,0.05621499940752983
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/precision@1,0.06740999966859818
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/precision@1,0.07467249780893326
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/precision@1,0.08092249929904938
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/precision@5,0.02219250053167343
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/precision@5,0.03501899912953377
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/precision@5,0.04095450043678284
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,3,Train/precision@5,0.04502800107002258
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,4,Train/precision@5,0.04798150062561035
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,0,Train/precision@10,0.01676424965262413
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,1,Train/precision@10,0.025593500584363937
graph_with_embeddings_wd1e-05_dr0.0_lr0.0001,1e-05,0.0,0.0001,2,Train/precision@10,0.02961524948477745
