model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/recall@5,0.32517001032829285
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/recall@5,0.3564774990081787
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/recall@5,0.37828248739242554
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/recall@10,0.22947749495506287
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/recall@10,0.3560524880886078
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/recall@10,0.4106200039386749
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/recall@10,0.44388750195503235
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/recall@10,0.46774500608444214
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/recall@20,0.3061474859714508
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/recall@20,0.4486275017261505
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/recall@20,0.5050699710845947
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/recall@20,0.5392975211143494
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/recall@20,0.5642325282096863
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/mrr@1,0.07318250089883804
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/mrr@1,0.14033499360084534
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/mrr@1,0.1773499995470047
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/mrr@1,0.20031249523162842
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/mrr@1,0.21616500616073608
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/mrr@5,0.10647283494472504
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/mrr@5,0.18842709064483643
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/mrr@5,0.23001728951931
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/mrr@5,0.256124883890152
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/mrr@5,0.2742083668708801
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/mrr@10,0.11461085081100464
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/mrr@10,0.19907522201538086
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/mrr@10,0.24137553572654724
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/mrr@10,0.26774391531944275
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/mrr@10,0.286106675863266
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/mrr@20,0.11988041549921036
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/mrr@20,0.20546546578407288
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/mrr@20,0.2479112595319748
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/mrr@20,0.2743590176105499
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/mrr@20,0.292792409658432
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/loss,6.902865886688232
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/loss,5.62217903137207
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/loss,5.216179847717285
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/loss,4.973643779754639
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/loss,4.805997371673584
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/precision@1,0.11388000100851059
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/precision@1,0.1578799933195114
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/precision@1,0.18318000435829163
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/precision@1,0.1987999975681305
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/precision@1,0.20904000103473663
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/precision@5,0.047547999769449234
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/precision@5,0.05920400097966194
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/precision@5,0.06587599962949753
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/precision@5,0.0702119991183281
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/precision@5,0.07280399650335312
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/precision@10,0.03110799938440323
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/precision@10,0.03785800188779831
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/precision@10,0.04129999876022339
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/precision@10,0.04350399971008301
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/precision@10,0.044895999133586884
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/precision@20,0.02008499950170517
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/precision@20,0.02360999956727028
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/precision@20,0.025299999862909317
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/precision@20,0.026328999549150467
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/precision@20,0.027003999799489975
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/recall@1,0.11388000100851059
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/recall@1,0.1578799933195114
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/recall@1,0.18318000435829163
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/recall@1,0.1987999975681305
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/recall@1,0.20904000103473663
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/recall@5,0.23773999512195587
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/recall@5,0.2960200011730194
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/recall@5,0.32938000559806824
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/recall@5,0.35106000304222107
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/recall@5,0.3640199899673462
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/recall@10,0.3110800087451935
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/recall@10,0.3785800039768219
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/recall@10,0.4129999876022339
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/recall@10,0.4350399971008301
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/recall@10,0.44896000623703003
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/recall@20,0.4016999900341034
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/recall@20,0.4722000062465668
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/recall@20,0.5059999823570251
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/recall@20,0.5265799760818481
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/recall@20,0.5400800108909607
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/mrr@1,0.11388000100851059
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/mrr@1,0.1578799933195114
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/mrr@1,0.18318000435829163
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/mrr@1,0.1987999975681305
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/mrr@1,0.20904000103473663
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Validation/mrr@5,0.15779033303260803
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Validation/mrr@5,0.20695966482162476
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Validation/mrr@5,0.2353283315896988
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Validation/mrr@5,0.25291934609413147
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Validation/mrr@5,0.26453566551208496
